Name,Date Created,Duration,Last edited time,Status,Status 1,Task
TIP-256,"January 16, 2024 8:37 AM",4h,"January 19, 2024 8:37 AM",Backlog,Not started,INFOTECH-318
SSL Certificates,"January 18, 2024 2:02 PM",45m,"January 19, 2024 8:33 AM",Backlog,Not started,INFOTECH-337
ecLearn - Sprint Planning Meeting,"January 18, 2024 2:00 PM",1h,"January 19, 2024 8:33 AM",Backlog,Not started,
Meeting with Teta - review documents,"January 18, 2024 11:15 AM",30m,"January 19, 2024 8:33 AM",Backlog,Not started,HR-184
Monthly meeting for Staff,"January 9, 2024 12:24 PM",1h,"January 16, 2024 3:13 PM",Backlog,Not started,TRAIN-376
Tip-266,"January 18, 2024 2:03 PM",4h,"January 19, 2024 8:33 AM",Backlog,Not started,
Documentation - Course Author,"January 15, 2024 9:44 AM",4h,"January 16, 2024 3:13 PM",Backlog,Not started,LMS-850
TIP-255,"January 16, 2024 8:37 AM",1h 15m,"January 19, 2024 8:33 AM",Backlog,Not started,INFOTECH-317
Documentation - Course Access Manager,"January 15, 2024 9:32 AM",4h,"January 17, 2024 12:57 PM",Backlog,Not started,LMS-851
Deployment and Pipelines with Jacob,"January 17, 2024 12:58 PM",3h,"January 18, 2024 2:03 PM",Backlog,Not started,MSFTCP-556
What does “When Not Completes” refer to,"January 17, 2024 1:16 PM",30m,"January 18, 2024 2:03 PM",Backlog,Not started,LMS-853
Documentation - My Learning Assistant - Internal Learners,"January 16, 2024 1:42 PM",4h,"January 17, 2024 12:57 PM",Backlog,Not started,LMS-848
Documentation - My Learning Assistant - External Learners,"January 16, 2024 1:44 PM",4h,"January 17, 2024 12:57 PM",Backlog,Not started,LMS-849
,"January 19, 2024 2:20 PM",,"January 19, 2024 2:20 PM",Done,Not started,
TIP-257,"January 16, 2024 8:37 AM",3h 30m,"January 19, 2024 4:40 PM",Done,Not started,INFOTECH-319
Fonts Issue,"January 19, 2024 4:29 PM",4h,"January 19, 2024 4:40 PM",Done,Not started,INFOTECH354
Documents tasks,"January 18, 2024 2:02 PM",1h 00m,"January 19, 2024 2:07 PM",Done,Not started,LMS-850
Sprint Meeting for IT,"January 19, 2024 8:34 AM",1h 00m,"January 19, 2024 4:23 PM",Done,Not started,INFOTECH-352
MS Deployment and Pipelines,"January 19, 2024 8:33 AM",1h 45m,"January 19, 2024 2:10 PM",Done,Not started,MSFTCP-562
Update document - My Learning Assistant - external Learners,"January 19, 2024 2:51 PM",2h 00m,"January 19, 2024 4:22 PM",Done,Not started,LMS-849
Building support task,"January 19, 2024 4:30 PM",15m,"January 19, 2024 4:31 PM",Done,Not started,INFOTECH-329
Change Password to Shared Mailboxes every 6 month,"January 19, 2024 2:33 PM",1h 00m,"January 19, 2024 4:31 PM",Done,Not started,INFOTECH-356
Documentation - Administrator,"January 16, 2024 8:36 AM",4h,"January 16, 2024 3:45 PM",To Do,Not started,LMS-852
What is involved in Setting up a new environment,"January 17, 2024 1:18 PM",4h,"January 17, 2024 1:19 PM",To Do,Not started,LMS-632
Microsoft request for CRM,"January 17, 2024 2:13 PM",1h 30m,"January 18, 2024 2:03 PM",Backlog,Not started,INFOTECH-345
,"January 19, 2024 2:16 PM",,"January 19, 2024 2:16 PM",To Do,Not started,
