Name,Date Created,Duration,Last edited time,Status,Status 1,Task
Building support task,"January 8, 2024 9:37 AM",0h 30m,"January 8, 2024 10:38 AM",Done,Not started,
Update Form Tab 6 (4h),"January 8, 2024 10:02 AM",,"January 8, 2024 4:57 PM",Done,Not started,
Check SSL Certificates,"January 8, 2024 9:56 AM",0h 45m,"January 8, 2024 4:49 PM",Done,Not started,INFOTECH-337
Update Form Tab 4 (15m),"January 8, 2024 10:03 AM",15m,"January 8, 2024 4:50 PM",Done,Not started,LMS-812
,"January 9, 2024 12:24 PM",,"January 9, 2024 12:24 PM",To Do,Not started,
Update View Tab 5 (15m),"January 8, 2024 10:03 AM",,"January 15, 2024 8:34 AM",Backlog,Not started,
Update Dashboards Tab 7 (2h),"January 8, 2024 10:00 AM",,"January 8, 2024 4:54 PM",Done,Not started,LMS-815
Update views to show the data (2h 30m),"January 8, 2024 10:04 AM",,"January 15, 2024 8:34 AM",Backlog,Not started,
Update Form Tab 3 (15m),"January 8, 2024 10:01 AM",,"January 15, 2024 8:34 AM",Backlog,Not started,LMS-811
ecLearn Testing for User in UAT (4h),"January 8, 2024 10:08 AM",,"January 15, 2024 8:34 AM",Backlog,Not started,LMS-843
Testing for mobile,"January 10, 2024 9:54 AM",1h,"January 15, 2024 8:35 AM",Done,Not started,LMS-699
IT request about spam email (15m),"January 9, 2024 1:23 PM",,"January 10, 2024 9:54 AM",Done,Not started,
Testing CRM,"January 9, 2024 1:23 PM",,"January 10, 2024 9:54 AM",Done,Not started,
